"","Tarih","CPI","CPI excluding seasonal products","CPI excluding unprocessed food, energy, alcoholic beverages, tobacco and gold","CPI excluding energy, food and non-alcoholic beverages, alcoholic beverages, tobacco and gold","CPI excluding unprocessed food, alcoholic beverages and tobacco","CPI excluding alcoholic beverages and tobacco","CPI excluding administered and directed prices"
"1",2003-01-15,94.77,94.88,94.46,94.47,95.4,95.01,95.04
"2",2003-02-15,96.23,96.06,95.23,95.24,96.35,96.51,96.71
"3",2003-03-15,98.12,97.06,96.12,96.01,97.21,98.49,98.85
"4",2003-04-15,99.09,97.84,97.68,97.49,98.22,99.5,99.88
"5",2003-05-15,100.04,98.75,98.97,98.8,99.28,100.5,100.7
"6",2003-06-15,100.12,100.32,99.98,99.87,99.92,100.17,100.1
"7",2003-07-15,99.93,100.85,100.49,100.23,100.27,99.74,99.39
"8",2003-08-15,100.09,101.73,101.2,101,100.81,99.67,99.23
"9",2003-09-15,101.44,102.67,102.89,102.97,102.19,101.08,100.52
"10",2003-10-15,102.38,102.91,103.8,104.01,102.9,102.04,101.85
"11",2003-11-15,103.68,103.32,104.52,104.88,103.62,103.4,103.61
"12",2003-12-15,104.12,103.62,104.65,105.03,103.83,103.87,104.12
"13",2004-01-15,104.81,104.54,105.51,105.89,104.45,104.58,104.85
"14",2004-02-15,105.35,105.19,105.84,106.2,104.73,105.15,105.29
"15",2004-03-15,106.36,106.12,105.8,106.09,104.82,105.68,105.98
"16",2004-04-15,106.89,106.73,106.51,106.87,105.44,106.22,106.64
"17",2004-05-15,107.35,107.51,107.75,108.27,106.71,106.71,107.14
"18",2004-06-15,107.21,108.44,108.79,109.2,107.76,106.56,106.79
"19",2004-07-15,107.72,109.39,109.25,109.37,108.55,107.09,107.17
"20",2004-08-15,108.54,110.62,109.85,109.99,109.37,107.95,107.92
"21",2004-09-15,109.57,111.83,111.06,111.33,110.58,108.98,108.79
"22",2004-10-15,112.03,113.52,112.91,113.49,112.64,111.54,111.8
"23",2004-11-15,113.5,114.21,114.28,115.05,114.06,113.09,113.58
"24",2004-12-15,113.86,114.23,114.55,115.28,114.41,113.47,113.88
"25",2005-01-15,114.49,115.21,115.16,115.94,114.79,114.12,114.33
"26",2005-02-15,114.51,115.83,114.72,115.26,114.43,114.04,114.16
"27",2005-03-15,114.81,116.59,114.76,115.25,114.79,114.34,114.32
"28",2005-04-15,115.63,117.32,116.13,117.11,116.2,115.2,115.5
"29",2005-05-15,116.69,117.82,118.08,119.63,117.51,116.31,116.84
"30",2005-06-15,116.81,118.74,118.99,120.81,118.34,116.43,116.95
"31",2005-07-15,116.14,119.31,118.26,119.83,117.88,115.62,115.95
"32",2005-08-15,117.13,121.18,118.16,119.64,118.02,115.67,115.92
"33",2005-09-15,118.33,122.01,118.75,120.28,119.04,116.93,117.35
"34",2005-10-15,120.45,122.67,120.5,122.47,120.78,119.14,120.11
